customer_id,full_name,email,gender,age,state,segment,signup_date
1,Hemal Lala,matthew15@example.org,Other,29,Telangana,Enterprise,2020-03-19
2,Nidhi Bhatnagar,zgoyal@example.com,Female,37,Tamil Nadu,SMB,2022-02-04
3,Ekaraj Gopal,kalaridhi@example.com,Other,28,Kerala,SMB,2022-09-04
4,Karan Sengupta,comarudant@example.com,Other,49,Telangana,SMB,2022-09-10
5,Manbir Muni,hemal77@example.net,Male,35,Tamil Nadu,Mid-Market,2020-01-02
6,Hemang Pandya,manbirsant@example.com,Other,23,Kerala,SMB,2021-10-30
7,Simon Mahajan,zilmilchauhan@example.com,Other,56,Rajasthan,SMB,2021-03-17
8,Nachiket Tata,masonkothari@example.org,Female,59,Delhi,SMB,2022-09-19
9,Ranbir Pai,kalabaljiwan@example.org,Male,49,Gujarat,SMB,2021-03-11
10,Ridhi Deo,ridhigill@example.net,Male,35,Gujarat,SMB,2020-01-02
11,Chaman Bhatt,zinalseshadri@example.net,Male,46,Maharashtra,SMB,2021-04-07
12,Viraj Wason,harish16@example.net,Female,60,Delhi,SMB,2020-03-16
13,Reva Deol,indrajitiyer@example.net,Other,51,Kerala,SMB,2020-08-26
14,Naksh Morar,baradpriya@example.org,Female,27,Kerala,SMB,2020-10-27
15,Hema Goda,groveratharv@example.net,Other,45,Punjab,SMB,2021-05-19
16,Chanakya Mutti,lajita91@example.org,Other,26,Telangana,Enterprise,2020-03-18
17,Ekaja Issac,kmitra@example.net,Male,40,Maharashtra,SMB,2020-02-02
18,Hemangini Mistry,rachitadeshpande@example.net,Male,46,Delhi,Mid-Market,2021-08-25
19,Advika Iyer,yanne@example.org,Other,45,Karnataka,SMB,2021-05-05
20,Daksh Wason,chandresh92@example.net,Female,35,Delhi,Enterprise,2022-11-10
21,Diya Uppal,umang39@example.org,Other,26,Punjab,Enterprise,2021-06-04
22,Zehaan Chopra,thakurpatrick@example.org,Male,56,Tamil Nadu,SMB,2020-06-07
23,Hemangini Ranganathan,groverneel@example.net,Female,46,Delhi,Enterprise,2020-12-12
